Source,Target,Type,Kind,Id,Label,Weight,Dénominations
10933,11541,Undirected,,267,,1,
10933,11064,Undirected,,268,,1,
10933,12003,Undirected,,269,,1,
10933,12943,Undirected,,270,,1,
10933,12445,Undirected,,271,,1,
10933,13786,Undirected,,272,,1,
12971,11541,Undirected,,273,,1,
12981,13783,Undirected,,274,,1,
12981,10878,Undirected,,275,,1,
12981,11928,Undirected,,276,,1,
12981,10417,Undirected,En Couple,277,,1,
10417,11928,Undirected,,278,,1,
10420,11937,Undirected,,279,,1,
10420,12380,Undirected,,280,,1,
10419,10825,Undirected,,281,,1,
10419,11550,Undirected,,282,,1,
10422,10784,Undirected,,283,,1,
10422,11353,Undirected,,284,,1,
10378,10988,Undirected,,285,,1,
10392,10330,Undirected,,286,,1,
10392,11325,Undirected,,287,,1,
10391,13766,Undirected,,288,,1,
10391,11433,Undirected,,289,,1,
10393,13784,Undirected,,290,,1,
10393,11683,Undirected,,291,,1,
10396,10867,Undirected,Ancienne école,292,,1,
10396,11099,Undirected,,293,,1,
10399,13109,Undirected,Ex-Collaboration,294,,1,
10399,13787,Undirected,,295,,1,
10400,13788,Undirected,Ex-Collaboration,296,,1,
10915,12046,Undirected,,297,,1,
10915,10859,Undirected,,298,,1,
10915,11327,Undirected,,299,,1,
10915,13789,Undirected,,300,,1,
11530,10915,Undirected,,301,,1,
12104,10915,Undirected,,302,,1,
12095,10959,Undirected,,303,,1,
12098,10665,Undirected,,304,,1,
12098,13772,Undirected,,305,,1,
12098,13026,Undirected,Famille,306,,1,
12098,11133,Undirected,Famille,307,,1,
12098,10455,Undirected,Famille,308,,1,
12103,11284,Undirected,Famille,309,,1,
12103,12210,Undirected,,310,,1,
12103,10430,Undirected,,311,,1,
12103,10566,Undirected,,312,,1,
12103,12781,Undirected,Famille,313,,1,
12103,13082,Undirected,,314,,1,
10320,13362,Undirected,,315,,1,
10340,11370,Undirected,,316,,1,
10348,11352,Undirected,,317,,1,
10348,12947,Undirected,,318,,1,
10356,11127,Undirected,,319,,1,
10356,11360,Undirected,,320,,1,
10356,11662,Undirected,,321,,1,
10356,10914,Undirected,,322,,1,
10359,11674,Undirected,,323,,1,
10359,13748,Undirected,,324,,1,
10359,12089,Undirected,En Couple,325,,1,
10359,11823,Undirected,Famille,326,,1,
10359,10516,Undirected,,327,,1,
11823,10516,Undirected,,328,,1,
10374,10771,Undirected,Ami,331,,1,
11851,10771,Undirected,Famille,330,,1,
10374,12609,Undirected,,332,,1,
10374,11830,Undirected,,333,,1,
10374,11007,Undirected,Ami,334,,1,
10374,10794,Undirected,,335,,1,
10374,10406,Undirected,,336,,1,
10374,13790,Undirected,Famille,337,,1,
10374,13791,Undirected,,338,,1,
11830,13791,Undirected,,339,,1,
13792,13791,Undirected,,340,,1,
13792,10818,Undirected,En Couple,341,,1,
13771,13752,Undirected,Ex-Collaboration,342,,1,
13771,12087,Undirected,,343,,1,
13771,11863,Undirected,Famille,344,,1,
10779,12102,Undirected,Ami,362,,1,
13771,11947,Undirected,,346,,1,
13771,12516,Undirected,,347,,1,
13771,12556,Undirected,,348,,1,
10955,12556,Undirected,,349,,1,
10955,10313,Undirected,,350,,1,
10955,13794,Undirected,,351,,1,
10955,11518,Undirected,,352,,1,
10956,10621,Undirected,Famille,353,,1,
10621,13784,Undirected,,354,,1,
10621,13748,Undirected,,355,,1,
10622,10812,Undirected,En Couple,356,,1,
10622,11129,Undirected,Ex,357,,1,
10622,13787,Undirected,,358,,1,
10622,10499,Undirected,Famille,359,,1,
10622,10703,Undirected,Famille,360,,1,
13771,13797,Undirected,Famille,361,,1,
10779,11983,Undirected,,363,,1,
10342,10689,Undirected,,364,,1,
10342,13799,Undirected,,365,,1,
10593,11903,Undirected,,366,,1,
